Timestamp,Which is your favorite FBS college football team?,Which is conference is this team a member of?,Have you ever worked or been enrolled as a student at this school?,Have you ever been a season ticket holder at this school?,Have you attended a college football game in the past 5 years?,Please carefully select your 5 most important features at a college football game that would convince you to attend rather than watch on television. Please note they don't have to currently exist at your teams stadium.,What is your preferred kickoff time when attending a game?,Which stadium type do you prefer,Where do you prefer to watch a college football game,What is your age,What is your gender?
2020/03/28 2:18:03 PM AST,Alabama,SEC,Yes,No,Yes,"Lower ticket price;In-stadium social/common areas;Climate controlled viewing/common areas to avoid heat or bad weather;In-stadium sports bar with extended hours;In-stadium attractions (museum, virtual reality, arcade, physical football challenges, children play area, photo ops, etc.)",Early Evening (dusk),Open Air,At a tailgate,35-44,Male
2020/03/28 3:13:38 PM AST,Oklahoma State,Big 12,Yes,Yes,Yes,"Lower ticket price;High quality opponent;Pre-game and post game activities (concerts, fireworks, etc.);Availability of alcohol;In-stadium sports bar with extended hours",Early Evening (dusk),Dome,At an on-campus bar or restaurant,25-34,Male
2020/03/28 3:43:46 PM AST,Ohio State,Big Ten,Yes,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Team performance;Live college football highlights from other games during timeouts,Afternoon,Open Air,At home,35-44,Male
2020/03/28 3:50:47 PM AST,Florida,SEC,No,No,Yes,Lower ticket price;High quality opponent;Team performance;Band and cheer performance;Availability of alcohol,Late Evening (night),Open Air,At an open air stadium,18-24,Male
2020/03/28 4:30:21 PM AST,Iowa State,Big 12,No,No,Yes,"High quality opponent;Modern in-stadium video boards, audio, and lights;In-stadium events during the game (corporate activations, live music, celebrity and mascot meet and greets, autographs, auctions, etc.);Ability to receive real-time updates like watching on television;Ability to order concessions from seat",Early Evening (dusk),Open Air,At an open air stadium,Under 18,Male
2020/03/28 4:30:51 PM AST,Nebraska,Big Ten,Yes,Yes,Yes,Lower ticket price;High quality opponent;Larger and/or more comfortable seats;Team performance;Internet access,Early Evening (dusk),Open Air,At home,25-34,Male
2020/03/28 4:31:25 PM AST,LSU,SEC,No,Yes,Yes,Lower ticket price;High quality opponent;Restroom cleanliness;Availability of alcohol;Internet access,Early Evening (dusk),Open Air,At an open air stadium,55-64,Male
2020/03/28 4:33:35 PM AST,Mississippi State,SEC,Yes,Yes,Yes,Lower ticket price;Parking proximity to stadium and price;High quality opponent;Team performance;Climate controlled viewing/common areas to avoid heat or bad weather,Late Evening (night),Open Air,At an open air stadium,18-24,Male
2020/03/28 4:35:08 PM AST,Kentucky,SEC,Yes,No,No,"Lower ticket price;Parking proximity to stadium and price;Larger and/or more comfortable seats;Modern in-stadium video boards, audio, and lights;Live college football highlights from other games during timeouts",Morning/Early Afternoon,Open Air,At home,25-34,Male
2020/03/28 4:46:00 PM AST,Arkansas,SEC,Yes,No,Yes,High quality opponent;High quality concession options;Team performance;In-stadium restaurants and dining options (not including concession stands);Ability to receive real-time updates like watching on television,Early Evening (dusk),Open Air,At an open air stadium,25-34,Male
